BCO DO BRASIL S.A.;1;Banco do Brasil S.A.
BRB - BCO DE BRASILIA S.A.;70;Banco de Brasília S.A.
Selic;;Banco Central do Brasil - Selic
Bacen;;Banco Central do Brasil
AGK CC S.A.;272;AGK Corretora de Câmbio S.A.
CONF NAC COOP CENTRAIS UNICRED;136;Confederação Nacional das Cooperativas Centrais Unicred Ltda – Unicred do Brasil
CAIXA ECONOMICA FEDERAL;104;Caixa Econômica Federal
STN;;Secretaria do Tesouro Nacional - STN
BANCO INTER;77;Banco Inter S.A.
BCO RIBEIRAO PRETO S.A.;741;Banco Ribeirão Preto S.A.
BCO CETELEM S.A.;739;Banco Cetelem S.A.
BANCO SEMEAR;743;Banco Semear S.A.
PLANNER CV S.A.;100;Planner Corretora de Valores S.A.
BCO B3 S.A.;96;Banco B3 S.A.
BCO RABOBANK INTL BRASIL S.A.;747;Banco Rabobank International Brasil S.A.
BCO COOPERATIVO SICREDI S.A.;748;Banco Cooperativo Sicredi S. A.
BCO BNP PARIBAS BRASIL S A;752;Banco BNP Paribas Brasil S.A.
CCCM UNICRED CENTRAL RS;91;Central de Cooperativas de Economia e Crédito Mútuo do Est RS - Unicred
KIRTON BANK;399;Kirton Bank S.A. - Banco Múltiplo
PORTOCRED S.A. - CFI;108;PortoCred S.A. Crédito, Financiamento e Investimento
BANCOOB;756;Banco Cooperativo do Brasil S/A - Bancoob
BCO KEB HANA DO BRASIL S.A.;757;Banco Keb Hana do Brasil S. A.
XP INVESTIMENTOS CCTVM S/A;102;XP Investimentos Corretora de Câmbio Títulos e Valores Mobiliários S.A.
CLEAR CORRETORA S.A.;102;CLEAR CORRETORA S.A.
UNIPRIME NORTE DO PARANÁ - CC;84;Uniprime Norte do Paraná - Cooperativa de Crédito Ltda.
CM CAPITAL MARKETS CCTVM LTDA;180;CM Capital Markets Corretora de Câmbio, Títulos e Valores Mobiliários Ltda.
BCO MORGAN STANLEY S.A.;66;Banco Morgan Stanley S. A.
UBS BRASIL CCTVM S.A.;15;UBS Brasil Corretora de Câmbio, Títulos e Valores Mobiliários S.A.
TREVISO CC S.A.;143;Treviso Corretora de Câmbio S.A.
CIP Siloc;;Câmara Interbancária de Pagamentos - CIP - LDL
HIPERCARD BM S.A.;62;Hipercard Banco Múltiplo S.A.
BCO. J.SAFRA S.A.;74;Banco J. Safra S.A.
UNIPRIME CENTRAL CCC LTDA.;99;Uniprime Central – Central Interestadual de Cooperativas de Crédito Ltda.
BCO ALFA S.A.;25;Banco Alfa S.A.
PI DTVM S.A.;315;PI Distribuidora de Títulos e Valores Mobiliários S.A.
BCO ABN AMRO S.A.;75;Banco ABN Amro S.A.
BCO CARGILL S.A.;40;Banco Cargill S.A.
TERRA INVESTIMENTOS DTVM;307;Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.
SERVICOOP;190;Servicoop - Cooperativa de Economia e Crédito Mútuo dos Servidores Públicos Esta
VISION S.A. CC;296;Vision S.A. Corretora de Câmbio
BANCO BRADESCARD;63;Banco Bradescard S.A.
NOVA FUTURA CTVM LTDA.;191;Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.
GOLDMAN SACHS DO BRASIL BM S.A;64;Goldman Sachs do Brasil  Banco Múltiplo S. A.
CIP Sitraf;;Câmara Interbancária de Pagamentos
CCC NOROESTE BRASILEIRO LTDA.;97;Cooperativa Central de Crédito Noroeste Brasileiro Ltda - CentralCredi
CCM DESP TRÂNS SC E RS;16;Coop de Créd. Mútuo dos Despachantes de Trânsito de SC e Rio Grande do Sul
SOROCRED CFI S.A.;299;Sorocred - Crédito, Financiamento e Investimento S/A
BANCO INBURSA;12;Banco Inbursa S.A.
BCO DA AMAZONIA S.A.;3;Banco da Amazônia S.A.
CONFIDENCE CC S.A.;60;Confidence Corretora de Câmbio S.A.
BCO DO EST. DO PA S.A.;37;Banco do Estado do Pará S.A.
CASA CREDITO S.A. SCM;159;Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor
ALBATROSS CCV S.A;172;Albatross Corretora de Câmbio e Valores S.A
COOP CENTRAL AILOS;85;Cooperativa Central de Crédito - Ailos
CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO;114;Central Cooperativa de Crédito no Estado do Espírito Santo - CECOOP
BCO BBI S.A.;36;Banco Bradesco BBI S.A.
BCO BRADESCO FINANC. S.A.;394;Banco Bradesco Financiamentos S.A.
BCO DO NORDESTE DO BRASIL S.A.;4;Banco do Nordeste do Brasil S.A.
BCO CCB BRASIL S.A.;320;China Construction Bank (Brasil) Banco Múltiplo S/A
HS FINANCEIRA;189;HS Financeira S/A Crédito, Financiamento e Investimentos
LECCA CFI S.A.;105;Lecca Crédito, Financiamento e Investimento S/A
BCO KDB BRASIL S.A.;76;Banco KDB do Brasil S.A.
BANCO TOPÁZIO S.A.;82;Banco Topazio S.A.
CCR DE OURO;286;Cooperativa de Crédito Rural de Ouro Sulcredi/Ouro
PÓLOCRED SCMEPP LTDA.;93;Pólocred Sociedade de Crédito ao Microempreendedor e à Empresa de Pequeno Porte 
